product_id,raw_text
P0018,EPD202400018 Buzzi Unicem Premium Mix Plus C25/30 40kg engineered for consistent performance and traceability code CEM-1018
P0019,Low Carbon Eco by Titan Cement / cement / CEM I 42.5N / 25kg / CEM-1019 / environmental declaration EPD202400019 / intended for interior and exterior use depending on project specification
P0020,EPD202400020 CEMEX Low Carbon Plus C30/37 40kg optimized for high durability and fast installation code CEM-1020
P0021,Product: LiftLine Eco; Maker: Prysmian; Specs: 8mm; 1770 MPa; ID: EPD202400021; Ref: SCB-1021; intended for interior and exterior use depending on project specification
P0022,TensileFlex Pro by Usha Martin / steel cables / 8mm / 1960 MPa / SCB-1022 / environmental declaration EPD202400022 / optimized for high durability and fast installation
P0023,Galvanized Strand Eco | manufacturer Usha Martin | product code SCB-1023 | EPD202400023 | 10mm | 1960 MPa | suitable for commercial and residential construction
P0024,LiftLine Pro | manufacturer Kiswire | product code SCB-1024 | EPD202400024 | 6mm | 1770 MPa | engineered for consistent performance and traceability
P0025,EPD202400025 Prysmian Wire Rope Plus 16mm 1770 MPa optimized for high durability and fast installation code SCB-1025
P0026,BridgeCable Ultra by Usha Martin / steel cables / 16mm / 1960 MPa / SCB-1026 / environmental declaration EPD202400026 / optimized for high durability and fast installation
P0027,EPD202400027 Bridon-Bekaert LiftLine Standard 10mm 1960 MPa engineered for consistent performance and traceability code SCB-1027
P0028,BridgeCable Pro by Prysmian / steel cables / 6mm / 1960 MPa / SCB-1028 / environmental declaration EPD202400028 / suitable for commercial and residential construction
P0029,BridgeCable Eco | manufacturer Usha Martin | product code SCB-1029 | EPD202400029 | 8mm | 1770 MPa | suitable for commercial and residential construction
P0030,"Bridon-Bekaert Galvanized Strand Plus, 10mm, 1770 MPa, declaration EPD202400030, sku SCB-1030, engineered for consistent performance and traceability"
P0031,Wire Rope Pro by Kiswire / steel cables / 16mm / 1770 MPa / SCB-1031 / environmental declaration EPD202400031 / intended for interior and exterior use depending on project specification
P0032,Wire Rope Pro | manufacturer Usha Martin | product code SCB-1032 | EPD202400032 | 12mm | 1960 MPa | optimized for high durability and fast installation
P0033,Wire Rope Ultra | manufacturer Prysmian | product code SCB-1033 | EPD202400033 | 12mm | 1960 MPa | commonly used in infrastructure and industrial applications
P0034,"Prysmian Galvanized Strand Standard, 10mm, 1770 MPa, declaration EPD202400034, sku SCB-1034, optimized for high durability and fast installation"
P0035,Product: TensileFlex Standard; Maker: Bridon-Bekaert; Specs: 8mm; 1960 MPa; ID: EPD202400035; Ref: SCB-1035; optimized for high durability and fast installation
P0036,BridgeCable Plus by Teufelberger / steel cables / 12mm / 1770 MPa / SCB-1036 / environmental declaration EPD202400036 / suitable for commercial and residential construction
P0037,EPD202400037 Prysmian Galvanized Strand Pro 8mm 1960 MPa commonly used in infrastructure and industrial applications code SCB-1037
P0038,EPD202400038 Bridon-Bekaert Wire Rope Plus 8mm 1960 MPa suitable for commercial and residential construction code SCB-1038
P0039,"Kiswire Wire Rope Ultra, 12mm, 1960 MPa, declaration EPD202400039, sku SCB-1039, optimized for high durability and fast installation"
P0040,Product: BridgeCable Plus; Maker: Kiswire; Specs: 16mm; 1770 MPa; ID: EPD202400040; Ref: SCB-1040; intended for interior and exterior use depending on project specification
P0041,"Knauf Insulation ThermaPanel Eco, 120mm, A1 fire class, declaration EPD202400041, sku INS-1041, engineered for consistent performance and traceability"
P0042,Acoustic Roll Plus | manufacturer Knauf Insulation | product code INS-1042 | EPD202400042 | 80mm | lambda 0.032 | engineered for consistent performance and traceability
P0043,PIR Board Plus | manufacturer ROCKWOOL | product code INS-1043 | EPD202400043 | 80mm | A1 fire class | engineered for consistent performance and traceability
P0044,Product: ThermaPanel Standard; Maker: Saint-Gobain; Specs: 100mm; lambda 0.035; ID: EPD202400044; Ref: INS-1044; optimized for high durability and fast installation
P0045,Product: EcoBatt Standard; Maker: ROCKWOOL; Specs: 80mm; A1 fire class; ID: EPD202400045; Ref: INS-1045; intended for interior and exterior use depending on project specification
P0046,EcoBatt Plus by ISOVER / insulation / 50mm / lambda 0.035 / INS-1046 / environmental declaration EPD202400046 / engineered for consistent performance and traceability
P0047,"Knauf Insulation ThermaPanel Eco, 80mm, A1 fire class, declaration EPD202400047, sku INS-1047, designed for low embodied carbon projects"
P0048,EPD202400048 Kingspan ThermaPanel Pro 100mm lambda 0.035 optimized for high durability and fast installation code INS-1048
P0049,Product: EcoBatt Eco; Maker: Saint-Gobain; Specs: 50mm; A1 fire class; ID: EPD202400049; Ref: INS-1049; engineered for consistent performance and traceability
P0050,Stone Wool Slab Ultra by Knauf Insulation / insulation / 50mm / lambda 0.032 / INS-1050 / environmental declaration EPD202400050 / intended for interior and exterior use depending on project specification
P0051,"ROCKWOOL EcoBatt Ultra, 80mm, A1 fire class, declaration EPD202400051, sku INS-1051, designed for low embodied carbon projects"
P0052,EPD202400052 Kingspan Acoustic Roll Standard 100mm lambda 0.032 suitable for commercial and residential construction code INS-1052
P0053,Product: ThermaPanel Plus; Maker: Kingspan; Specs: 100mm; lambda 0.032; ID: EPD202400053; Ref: INS-1053; intended for interior and exterior use depending on project specification
P0054,PIR Board Eco | manufacturer ROCKWOOL | product code INS-1054 | EPD202400054 | 120mm | A1 fire class | suitable for commercial and residential construction
P0055,Stone Wool Slab Eco by Knauf Insulation / insulation / 50mm / lambda 0.035 / INS-1055 / environmental declaration EPD202400055 / engineered for consistent performance and traceability
P0056,PIR Board Pro | manufacturer ROCKWOOL | product code INS-1056 | EPD202400056 | 50mm | lambda 0.035 | designed for low embodied carbon projects
P0057,Product: Stone Wool Slab Max; Maker: Kingspan; Specs: 80mm; A1 fire class; ID: EPD202400057; Ref: INS-1057; suitable for commercial and residential construction
P0058,"Saint-Gobain PIR Board Eco, 80mm, lambda 0.032, declaration EPD202400058, sku INS-1058, optimized for high durability and fast installation"
P0059,"ISOVER ThermaPanel Pro, 100mm, lambda 0.035, declaration EPD202400059, sku INS-1059, intended for interior and exterior use depending on project specification"
P0060,EPD202400060 Kingspan Stone Wool Slab Max 50mm lambda 0.035 suitable for commercial and residential construction code INS-1060
P0061,"Tarmac LiteBlock Standard, 140mm, 10.4N, declaration EPD202400061, sku BLK-1061, optimized for high durability and fast installation"
P0062,Product: LiteBlock Standard; Maker: Xella; Specs: 140mm; 10.4N; ID: EPD202400062; Ref: BLK-1062; suitable for commercial and residential construction
P0063,Acoustic Block Standard | manufacturer CRH | product code BLK-1063 | EPD202400063 | 200mm | 15N | designed for low embodied carbon projects
P0064,Aircrete Pro | manufacturer Xella | product code BLK-1064 | EPD202400064 | 200mm | 10.4N | suitable for commercial and residential construction
P0065,Foundation Block Ultra by Lafarge / concrete blocks / 200mm / 10.4N / BLK-1065 / environmental declaration EPD202400065 / commonly used in infrastructure and industrial applications
P0066,Dense Block Standard | manufacturer Lafarge | product code BLK-1066 | EPD202400066 | 200mm | 7.3N | designed for low embodied carbon projects
P0067,"Forterra Dense Block Eco, 200mm, 15N, declaration EPD202400067, sku BLK-1067, intended for interior and exterior use depending on project specification"
P0068,Product: Foundation Block Plus; Maker: CRH; Specs: 200mm; 10.4N; ID: EPD202400068; Ref: BLK-1068; engineered for consistent performance and traceability
P0069,Product: Aircrete Eco; Maker: Xella; Specs: 140mm; 15N; ID: EPD202400069; Ref: BLK-1069; commonly used in infrastructure and industrial applications
P0070,EPD202400070 Forterra Aircrete Eco 100mm 7.3N commonly used in infrastructure and industrial applications code BLK-1070
P0071,Acoustic Block Eco | manufacturer Tarmac | product code BLK-1071 | EPD202400071 | 140mm | 10.4N | engineered for consistent performance and traceability
P0072,Product: Aircrete Pro; Maker: CRH; Specs: 140mm; 15N; ID: EPD202400072; Ref: BLK-1072; engineered for consistent performance and traceability
P0073,EPD202400073 Forterra Foundation Block Standard 200mm 7.3N engineered for consistent performance and traceability code BLK-1073
P0074,Dense Block Ultra by Tarmac / concrete blocks / 200mm / 15N / BLK-1074 / environmental declaration EPD202400074 / intended for interior and exterior use depending on project specification
P0075,"CRH Dense Block Pro, 200mm, 10.4N, declaration EPD202400075, sku BLK-1075, optimized for high durability and fast installation"
P0076,Dense Block Plus | manufacturer Tarmac | product code BLK-1076 | EPD202400076 | 100mm | 10.4N | engineered for consistent performance and traceability
P0077,EPD202400077 Forterra Foundation Block Max 200mm 7.3N intended for interior and exterior use depending on project specification code BLK-1077
P0078,Foundation Block Pro | manufacturer Forterra | product code BLK-1078 | EPD202400078 | 100mm | 15N | intended for interior and exterior use depending on project specification
P0079,EPD202400079 Xella Foundation Block Pro 100mm 15N engineered for consistent performance and traceability code BLK-1079
P0080,EPD202400080 Xella Acoustic Block Pro 100mm 10.4N optimized for high durability and fast installation code BLK-1080
P0081,Interior Silk Eco by PPG / paint / black / 10L / PNT-1081 / environmental declaration EPD202400081 / engineered for consistent performance and traceability
P0082,EPD202400082 Tikkurila Interior Silk Standard grey 15L commonly used in infrastructure and industrial applications code PNT-1082
P0083,"Sika Facade Coat Max, black, 15L, declaration EPD202400083, sku PNT-1083, commonly used in infrastructure and industrial applications"
P0084,Product: Epoxy Shield Plus; Maker: Sika; Specs: black; 5L; ID: EPD202400084; Ref: PNT-1084; designed for low embodied carbon projects
P0085,EPD202400085 Sika Interior Silk Plus grey 5L optimized for high durability and fast installation code PNT-1085
P0086,Facade Coat Plus by Jotun / paint / RAL 9016 / 10L / PNT-1086 / environmental declaration EPD202400086 / designed for low embodied carbon projects
P0087,Epoxy Shield Plus by Tikkurila / paint / grey / 10L / PNT-1087 / environmental declaration EPD202400087 / commonly used in infrastructure and industrial applications
P0088,Product: Interior Silk Standard; Maker: AkzoNobel; Specs: RAL 9016; 5L; ID: EPD202400088; Ref: PNT-1088; designed for low embodied carbon projects
P0089,Product: Epoxy Shield Eco; Maker: Tikkurila; Specs: grey; 10L; ID: EPD202400089; Ref: PNT-1089; optimized for high durability and fast installation
P0090,EPD202400090 Tikkurila Epoxy Shield Plus RAL 9016 10L intended for interior and exterior use depending on project specification code PNT-1090
P0091,Epoxy Shield Pro by Jotun / paint / white / 10L / PNT-1091 / environmental declaration EPD202400091 / engineered for consistent performance and traceability
P0092,"AkzoNobel Acrylic Matt Max, RAL 9016, 5L, declaration EPD202400092, sku PNT-1092, commonly used in infrastructure and industrial applications"
P0093,Product: Primer Plus Standard; Maker: AkzoNobel; Specs: black; 5L; ID: EPD202400093; Ref: PNT-1093; commonly used in infrastructure and industrial applications
P0094,EPD202400094 Sika Epoxy Shield Ultra RAL 9016 10L suitable for commercial and residential construction code PNT-1094
P0095,Interior Silk Plus | manufacturer AkzoNobel | product code PNT-1095 | EPD202400095 | black | 5L | intended for interior and exterior use depending on project specification
P0096,"AkzoNobel Acrylic Matt Pro, grey, 5L, declaration EPD202400096, sku PNT-1096, engineered for consistent performance and traceability"
P0097,EPD202400097 Jotun Facade Coat Standard white 15L optimized for high durability and fast installation code PNT-1097
P0098,Primer Plus Pro | manufacturer Sika | product code PNT-1098 | EPD202400098 | white | 5L | designed for low embodied carbon projects
P0099,"PPG Acrylic Matt Ultra, RAL 9016, 10L, declaration EPD202400099, sku PNT-1099, intended for interior and exterior use depending on project specification"
P0100,Product: Interior Silk Max; Maker: AkzoNobel; Specs: grey; 5L; ID: EPD202400100; Ref: PNT-1100; intended for interior and exterior use depending on project specification
P0101,EPD202400101 Siniat Fire Panel Eco 12.5mm 1200x3000mm engineered for consistent performance and traceability code PLB-1101
P0102,EPD202400102 USG Fire Panel Eco 15mm 1200x2400mm commonly used in infrastructure and industrial applications code PLB-1102
P0103,"Knauf Acoustic Board Ultra, 15mm, 1200x2400mm, declaration EPD202400103, sku PLB-1103, commonly used in infrastructure and industrial applications"
P0104,Standard Board Eco by Siniat / plasterboard / 15mm / 1200x3000mm / PLB-1104 / environmental declaration EPD202400104 / commonly used in infrastructure and industrial applications
P0105,"USG Standard Board Pro, 12.5mm, 1200x3000mm, declaration EPD202400105, sku PLB-1105, commonly used in infrastructure and industrial applications"
P0106,EPD202400106 Etex Impact Board Eco 15mm 1200x3000mm suitable for commercial and residential construction code PLB-1106
P0107,Product: Moisture Board Standard; Maker: USG; Specs: 12.5mm; 1200x3000mm; ID: EPD202400107; Ref: PLB-1107; designed for low embodied carbon projects
P0108,"USG Impact Board Max, 15mm, 1200x2400mm, declaration EPD202400108, sku PLB-1108, engineered for consistent performance and traceability"
P0109,"Knauf Moisture Board Max, 15mm, 1200x3000mm, declaration EPD202400109, sku PLB-1109, engineered for consistent performance and traceability"
P0110,"Etex Acoustic Board Standard, 12.5mm, 1200x2400mm, declaration EPD202400110, sku PLB-1110, designed for low embodied carbon projects"
P0111,Moisture Board Ultra by Etex / plasterboard / 15mm / 1200x3000mm / PLB-1111 / environmental declaration EPD202400111 / engineered for consistent performance and traceability
P0112,EPD202400112 USG Acoustic Board Max 15mm 1200x3000mm intended for interior and exterior use depending on project specification code PLB-1112
P0113,"USG Standard Board Ultra, 12.5mm, 1200x2400mm, declaration EPD202400113, sku PLB-1113, intended for interior and exterior use depending on project specification"
P0114,EPD202400114 USG Fire Panel Max 12.5mm 1200x2400mm optimized for high durability and fast installation code PLB-1114
P0115,Product: Impact Board Eco; Maker: USG; Specs: 15mm; 1200x2400mm; ID: EPD202400115; Ref: PLB-1115; optimized for high durability and fast installation
P0116,Standard Board Pro by Saint-Gobain Gyproc / plasterboard / 15mm / 1200x2400mm / PLB-1116 / environmental declaration EPD202400116 / intended for interior and exterior use depending on project specification
P0117,"Saint-Gobain Gyproc Standard Board Plus, 12.5mm, 1200x3000mm, declaration EPD202400117, sku PLB-1117, intended for interior and exterior use depending on project specification"
P0118,EPD202400118 Etex Fire Panel Plus 15mm 1200x3000mm commonly used in infrastructure and industrial applications code PLB-1118
P0119,Moisture Board Plus | manufacturer USG | product code PLB-1119 | EPD202400119 | 15mm | 1200x3000mm | suitable for commercial and residential construction
P0120,Acoustic Board Plus by Etex / plasterboard / 12.5mm / 1200x2400mm / PLB-1120 / environmental declaration EPD202400120 / optimized for high durability and fast installation
P0121,GL24h Beam Pro by Binderholz / timber / 45x95mm / PEFC certified / TMB-1121 / environmental declaration EPD202400121 / engineered for consistent performance and traceability
P0122,Product: CLT Panel Eco; Maker: Moelven; Specs: 45x145mm; PEFC certified; ID: EPD202400122; Ref: TMB-1122; commonly used in infrastructure and industrial applications
P0123,LVL Element Ultra | manufacturer Moelven | product code TMB-1123 | EPD202400123 | 60x200mm | FSC certified | engineered for consistent performance and traceability
P0124,"Metsa Wood CLT Panel Ultra, 60x200mm, FSC certified, declaration EPD202400124, sku TMB-1124, optimized for high durability and fast installation"
P0125,EPD202400125 Metsa Wood Pine Board Plus 45x95mm FSC certified commonly used in infrastructure and industrial applications code TMB-1125
P0126,Product: LVL Element Ultra; Maker: Moelven; Specs: 45x95mm; FSC certified; ID: EPD202400126; Ref: TMB-1126; designed for low embodied carbon projects
P0127,GL24h Beam Max by UPM Timber / timber / 45x95mm / PEFC certified / TMB-1127 / environmental declaration EPD202400127 / intended for interior and exterior use depending on project specification
P0128,"Metsa Wood LVL Element Plus, 60x200mm, FSC certified, declaration EPD202400128, sku TMB-1128, intended for interior and exterior use depending on project specification"
P0129,CLT Panel Plus by Binderholz / timber / 45x95mm / FSC certified / TMB-1129 / environmental declaration EPD202400129 / designed for low embodied carbon projects
P0130,Product: Spruce Stud Standard; Maker: Moelven; Specs: 45x95mm; PEFC certified; ID: EPD202400130; Ref: TMB-1130; intended for interior and exterior use depending on project specification
P0131,Spruce Stud Eco | manufacturer UPM Timber | product code TMB-1131 | EPD202400131 | 60x200mm | PEFC certified | commonly used in infrastructure and industrial applications
P0132,Product: GL24h Beam Standard; Maker: Moelven; Specs: 60x200mm; PEFC certified; ID: EPD202400132; Ref: TMB-1132; engineered for consistent performance and traceability
P0133,Product: GL24h Beam Pro; Maker: Stora Enso; Specs: 60x200mm; FSC certified; ID: EPD202400133; Ref: TMB-1133; intended for interior and exterior use depending on project specification
P0134,"Moelven GL24h Beam Pro, 45x145mm, PEFC certified, declaration EPD202400134, sku TMB-1134, designed for low embodied carbon projects"
P0135,Product: LVL Element Max; Maker: Moelven; Specs: 45x145mm; FSC certified; ID: EPD202400135; Ref: TMB-1135; commonly used in infrastructure and industrial applications
P0136,Product: Spruce Stud Ultra; Maker: UPM Timber; Specs: 60x200mm; FSC certified; ID: EPD202400136; Ref: TMB-1136; optimized for high durability and fast installation
P0137,LVL Element Ultra | manufacturer UPM Timber | product code TMB-1137 | EPD202400137 | 60x200mm | PEFC certified | engineered for consistent performance and traceability
P0138,EPD202400138 UPM Timber GL24h Beam Ultra 45x145mm PEFC certified suitable for commercial and residential construction code TMB-1138
P0139,GL24h Beam Max | manufacturer Moelven | product code TMB-1139 | EPD202400139 | 60x200mm | PEFC certified | commonly used in infrastructure and industrial applications
P0140,EPD202400140 Metsa Wood Pine Board Ultra 60x200mm PEFC certified intended for interior and exterior use depending on project specification code TMB-1140
P0141,EPD202400141 ArcelorMittal Ribbed Bar Ultra 20mm B500B designed for low embodied carbon projects code RBR-1141
P0142,"Outokumpu B500B Bar Plus, 20mm, B500B, declaration EPD202400142, sku RBR-1142, intended for interior and exterior use depending on project specification"
P0143,"Celsa Steel Hot Rolled Bar Plus, 20mm, B500C, declaration EPD202400143, sku RBR-1143, suitable for commercial and residential construction"
P0144,Product: Seismic Grade Plus; Maker: ArcelorMittal; Specs: 10mm; B500C; ID: EPD202400144; Ref: RBR-1144; intended for interior and exterior use depending on project specification
P0145,EPD202400145 Tata Steel Coil Rebar Standard 16mm B500C optimized for high durability and fast installation code RBR-1145
P0146,Product: Ribbed Bar Standard; Maker: Tata Steel; Specs: 10mm; B500B; ID: EPD202400146; Ref: RBR-1146; suitable for commercial and residential construction
P0147,Product: Coil Rebar Eco; Maker: Outokumpu; Specs: 12mm; B500B; ID: EPD202400147; Ref: RBR-1147; designed for low embodied carbon projects
P0148,Hot Rolled Bar Max by Tata Steel / rebar / 16mm / B500B / RBR-1148 / environmental declaration EPD202400148 / commonly used in infrastructure and industrial applications
P0149,Product: Coil Rebar Ultra; Maker: Outokumpu; Specs: 20mm; B500C; ID: EPD202400149; Ref: RBR-1149; commonly used in infrastructure and industrial applications
P0150,Ribbed Bar Eco | manufacturer Nucor | product code RBR-1150 | EPD202400150 | 16mm | B500B | commonly used in infrastructure and industrial applications
P0151,"Celsa Steel Seismic Grade Max, 16mm, B500C, declaration EPD202400151, sku RBR-1151, intended for interior and exterior use depending on project specification"
P0152,EPD202400152 Outokumpu B500B Bar Pro 20mm B500C suitable for commercial and residential construction code RBR-1152
P0153,"ArcelorMittal Hot Rolled Bar Standard, 8mm, B500B, declaration EPD202400153, sku RBR-1153, commonly used in infrastructure and industrial applications"
P0154,Seismic Grade Ultra | manufacturer ArcelorMittal | product code RBR-1154 | EPD202400154 | 12mm | B500C | intended for interior and exterior use depending on project specification
P0155,Hot Rolled Bar Standard | manufacturer Celsa Steel | product code RBR-1155 | EPD202400155 | 12mm | B500C | engineered for consistent performance and traceability
P0156,B500B Bar Pro | manufacturer Tata Steel | product code RBR-1156 | EPD202400156 | 12mm | B500B | intended for interior and exterior use depending on project specification
P0157,Product: B500B Bar Max; Maker: Outokumpu; Specs: 8mm; B500C; ID: EPD202400157; Ref: RBR-1157; optimized for high durability and fast installation
P0158,Product: B500B Bar Ultra; Maker: ArcelorMittal; Specs: 8mm; B500C; ID: EPD202400158; Ref: RBR-1158; designed for low embodied carbon projects
P0159,"Outokumpu Ribbed Bar Pro, 20mm, B500C, declaration EPD202400159, sku RBR-1159, engineered for consistent performance and traceability"
P0160,"Nucor Ribbed Bar Plus, 20mm, B500C, declaration EPD202400160, sku RBR-1160, engineered for consistent performance and traceability"
P0161,Product: Basement Shield Pro; Maker: GCP Applied Technologies; Specs: 1.2mm; root resistant; ID: EPD202400161; Ref: WPF-1161; intended for interior and exterior use depending on project specification
P0162,PU Coating Max by GCP Applied Technologies / waterproofing / 1.2mm / root resistant / WPF-1162 / environmental declaration EPD202400162 / designed for low embodied carbon projects
P0163,EPD202400163 Mapei Bitumen Sheet Standard 1.5mm two component designed for low embodied carbon projects code WPF-1163
P0164,RoofSeal Ultra | manufacturer BASF | product code WPF-1164 | EPD202400164 | 1.2mm | root resistant | commonly used in infrastructure and industrial applications
P0165,Product: RoofSeal Eco; Maker: Mapei; Specs: 1.5mm; two component; ID: EPD202400165; Ref: WPF-1165; designed for low embodied carbon projects
P0166,RoofSeal Ultra | manufacturer Sika | product code WPF-1166 | EPD202400166 | 1.2mm | two component | intended for interior and exterior use depending on project specification
P0167,"Soprema RoofSeal Ultra, 1.2mm, two component, declaration EPD202400167, sku WPF-1167, designed for low embodied carbon projects"
P0168,"Mapei Basement Shield Ultra, 2.0mm, two component, declaration EPD202400168, sku WPF-1168, intended for interior and exterior use depending on project specification"
P0169,Product: Bitumen Sheet Ultra; Maker: Sika; Specs: 1.5mm; UV resistant; ID: EPD202400169; Ref: WPF-1169; engineered for consistent performance and traceability
P0170,"Mapei Bitumen Sheet Ultra, 1.5mm, two component, declaration EPD202400170, sku WPF-1170, commonly used in infrastructure and industrial applications"
P0171,Product: Liquid Membrane Eco; Maker: Mapei; Specs: 1.5mm; two component; ID: EPD202400171; Ref: WPF-1171; engineered for consistent performance and traceability
P0172,PU Coating Standard | manufacturer Mapei | product code WPF-1172 | EPD202400172 | 1.5mm | two component | designed for low embodied carbon projects
P0173,EPD202400173 GCP Applied Technologies Bitumen Sheet Pro 1.2mm two component intended for interior and exterior use depending on project specification code WPF-1173
P0174,PU Coating Plus by Soprema / waterproofing / 1.5mm / UV resistant / WPF-1174 / environmental declaration EPD202400174 / designed for low embodied carbon projects
P0175,Product: RoofSeal Ultra; Maker: Sika; Specs: 2.0mm; two component; ID: EPD202400175; Ref: WPF-1175; intended for interior and exterior use depending on project specification
P0176,"Soprema RoofSeal Max, 1.5mm, UV resistant, declaration EPD202400176, sku WPF-1176, intended for interior and exterior use depending on project specification"
P0177,"GCP Applied Technologies Bitumen Sheet Eco, 2.0mm, root resistant, declaration EPD202400177, sku WPF-1177, engineered for consistent performance and traceability"
P0178,RoofSeal Max | manufacturer Sika | product code WPF-1178 | EPD202400178 | 1.5mm | two component | commonly used in infrastructure and industrial applications
P0179,Bitumen Sheet Plus | manufacturer Mapei | product code WPF-1179 | EPD202400179 | 1.5mm | root resistant | suitable for commercial and residential construction
P0180,Basement Shield Pro by Mapei / waterproofing / 1.5mm / root resistant / WPF-1180 / environmental declaration EPD202400180 / designed for low embodied carbon projects
P0181,Sewer Pipe Max | manufacturer Aliaxis | product code PIP-1181 | EPD202400181 | 32mm | PN16 | intended for interior and exterior use depending on project specification
P0182,Product: Sewer Pipe Standard; Maker: Aliaxis; Specs: 50mm; PN10; ID: EPD202400182; Ref: PIP-1182; intended for interior and exterior use depending on project specification
P0183,Product: Pressure Pipe Standard; Maker: Wavin; Specs: 32mm; PN16; ID: EPD202400183; Ref: PIP-1183; suitable for commercial and residential construction
P0184,Drain Pipe Plus | manufacturer Pipelife | product code PIP-1184 | EPD202400184 | 110mm | PN16 | optimized for high durability and fast installation
P0185,PEX Pipe Max by Aliaxis / pipes / 32mm / SN8 / PIP-1185 / environmental declaration EPD202400185 / intended for interior and exterior use depending on project specification
P0186,"Uponor PEX Pipe Ultra, 32mm, PN10, declaration EPD202400186, sku PIP-1186, engineered for consistent performance and traceability"
P0187,"Uponor Sewer Pipe Pro, 32mm, PN10, declaration EPD202400187, sku PIP-1187, designed for low embodied carbon projects"
P0188,Product: PEX Pipe Ultra; Maker: Pipelife; Specs: 32mm; PN10; ID: EPD202400188; Ref: PIP-1188; engineered for consistent performance and traceability
P0189,Product: PEX Pipe Max; Maker: Wavin; Specs: 20mm; PN10; ID: EPD202400189; Ref: PIP-1189; suitable for commercial and residential construction
P0190,Sewer Pipe Ultra | manufacturer Wavin | product code PIP-1190 | EPD202400190 | 20mm | PN10 | designed for low embodied carbon projects
P0191,EPD202400191 Wavin Pressure Pipe Eco 20mm SN8 suitable for commercial and residential construction code PIP-1191
P0192,"Aliaxis Drain Pipe Eco, 20mm, PN16, declaration EPD202400192, sku PIP-1192, engineered for consistent performance and traceability"
P0193,PEX Pipe Max | manufacturer Pipelife | product code PIP-1193 | EPD202400193 | 50mm | PN16 | intended for interior and exterior use depending on project specification
P0194,EPD202400194 Uponor Pressure Pipe Standard 110mm SN8 suitable for commercial and residential construction code PIP-1194
P0195,PEX Pipe Plus | manufacturer Aliaxis | product code PIP-1195 | EPD202400195 | 50mm | SN8 | optimized for high durability and fast installation
P0196,Drain Pipe Eco by Wavin / pipes / 50mm / PN16 / PIP-1196 / environmental declaration EPD202400196 / engineered for consistent performance and traceability
P0197,Pressure Pipe Eco | manufacturer Georg Fischer | product code PIP-1197 | EPD202400197 | 110mm | PN10 | intended for interior and exterior use depending on project specification
P0198,Product: HDPE Pipe Standard; Maker: Pipelife; Specs: 110mm; PN10; ID: EPD202400198; Ref: PIP-1198; commonly used in infrastructure and industrial applications
P0199,Product: Pressure Pipe Standard; Maker: Aliaxis; Specs: 20mm; PN16; ID: EPD202400199; Ref: PIP-1199; commonly used in infrastructure and industrial applications
P0200,Drain Pipe Pro | manufacturer Georg Fischer | product code PIP-1200 | EPD202400200 | 110mm | PN10 | suitable for commercial and residential construction
